elo1, elo2, res, round
2550,2195,1-0,1
2190,2547,0-1,1
2542,2182,1-0,1
2173,2533,0-1,1
2531,2171,1-0,1
2162,2527,1-0,1
2507,2161,1-0,1
2151,2495,0-1,1
2494,2132,1-0,1
2130,2482,0-1,1
2479,2130,1-0,1
2122,2473,1-0,1
2472,2094,0-1,1
2092,2464,0-1,1
2445,2079,1-0,1
2076,2442,0-1,1
2440,2052,1-0,1
2027,2439,1-0,1
2436,2012,1-0,1
2009,2427,0-1,1
2421,1986,1-0,1
1959,2418,0-1,1
2408,1953,1-0,1
1951,2404,0-1,1
2402,1951,1-0,1
1949,2400,1/2-1/2,1
2383,1949,1-0,1
1940,2376,0-1,1
2370,1939,1-0,1
1913,2368,0-1,1
2365,1904,1-0,1
1902,2351,1/2-1/2,1
2350,1882,1-0,1
1787,2345,0-1,1
2339,1775,1-0,1
2309,1724,1-0,1
1720,2303,0-1,1
2288,1660,1-0,1
1646,2287,0-1,1
2279,1646,1-0,1
2463,1564,1-0,1
2065,2453,0-1,1
2673,2251,1-0,1
2249,2639,0-1,1
2604,2248,1-0,1
2225,2586,0-1,1
2579,2219,1-0,1
2211,2569,1/2-1/2,1
2563,2199,1-0,1
2198,2556,1/2-1/2,1
2368,2542,0-1,2
2533,2350,1/2-1/2,2
2345,2531,0-1,2
2339,2507,1-0,2
2495,2309,1/2-1/2,2
2310,2494,0-1,2
2482,2288,1/2-1/2,2
2303,2479,1/2-1/2,2
2464,2279,1-0,2
2286,2463,1/2-1/2,2
2453,2256,1-0,2
2253,2445,0-1,2
2442,2252,1-0,2
2162,2440,1/2-1/2,2
2122,2436,0-1,2
2427,2027,1-0,2
2094,2421,1/2-1/2,2
2569,2198,1-0,2
2556,2211,1-0,2
2400,1902,1-0,2
2257,1949,0-1,2
2527,2012,1-0,2
2473,2009,1-0,2
1986,2472,0-1,2
2439,1959,1-0,2
2251,1953,1-0,2
1951,2249,0-1,2
2248,1951,1/2-1/2,2
1949,2225,0-1,2
2219,1940,1/2-1/2,2
2199,1939,0-1,2
2195,1913,1-0,2
1904,2190,0-1,2
2182,1882,1-0,2
1775,2173,0-1,2
2171,1787,1-0,2
2161,1724,1-0,2
1660,2151,0-1,2
2132,1720,1-0,2
1646,2130,0-1,2
2130,1646,1-0,2
1564,2092,0-1,2
2418,2673,1/2-1/2,2
2639,2408,1-0,2
2404,2604,0-1,2
2586,2402,1-0,2
2383,2579,0-1,2
2376,2563,1/2-1/2,2
2370,2550,0-1,2
2547,2365,1-0,2
2494,2639,1/2-1/2,3
2604,2464,1/2-1/2,3
2445,2586,1-0,3
2579,2453,1-0,3
2550,2442,1-0,3
2436,2547,1/2-1/2,3
2542,2427,1-0,3
2531,2339,1-0,3
2673,2400,1-0,3
2418,2569,1/2-1/2,3
2563,2351,1-0,3
2350,2556,0-1,3
2309,2533,1/2-1/2,3
2288,2495,1/2-1/2,3
1949,2482,0-1,3
2479,2376,0-1,3
2463,2303,0-1,3
2440,2286,1-0,3
2421,2162,1/2-1/2,3
2527,2094,1-0,3
2507,2195,1-0,3
2225,2473,0-1,3
2472,2182,1-0,3
2190,2439,1/2-1/2,3
2408,2171,1-0,3
2173,2404,1/2-1/2,3
2402,2161,1-0,3
2151,2383,0-1,3
2130,2370,1-0,3
2092,2368,0-1,3
2365,2132,1-0,3
2076,2345,0-1,3
2065,2310,0-1,3
2279,2130,1-0,3
2256,2122,0-1,3
2027,2253,0-1,3
2252,2079,1-0,3
1939,2251,1/2-1/2,3
2249,2052,1-0,3
2198,2257,1-0,3
1940,2248,1-0,3
1951,2219,0-1,3
2211,1902,1/2-1/2,3
2012,1775,1/2-1/2,3
1724,2009,0-1,3
1720,1986,1-0,3
1959,1660,0-1,3
1953,1646,1-0,3
1646,1951,1-0,3
1913,1564,1-0,3
2542,2579,1/2-1/2,4
2531,2550,1-0,4
2639,2445,1/2-1/2,4
2482,2673,1/2-1/2,4
2376,2604,0-1,4
2464,2563,1/2-1/2,4
2556,2436,1-0,4
2547,2440,1-0,4
2303,2494,1-0,4
2586,2383,1-0,4
2569,2365,1-0,4
2533,2339,1/2-1/2,4
2368,2527,1/2-1/2,4
2345,2507,0-1,4
2495,2279,1/2-1/2,4
2473,2309,0-1,4
2310,2472,0-1,4
2453,2288,0-1,4
2442,2249,1/2-1/2,4
2427,2252,1-0,4
2253,2421,0-1,4
2162,2418,0-1,4
2130,2408,0-1,4
2122,2402,0-1,4
2219,2479,0-1,4
2094,2463,1/2-1/2,4
2439,2198,0-1,4
2404,2190,1/2-1/2,4
2400,2173,1-0,4
2351,1949,1-0,4
1939,2350,1/2-1/2,4
2286,1940,1/2-1/2,4
2052,2370,0-1,4
2009,2256,0-1,4
1953,2225,1-0,4
1904,2211,0-1,4
2195,2076,1/2-1/2,4
2182,2065,1-0,4
2171,2027,1/2-1/2,4
2161,1913,1-0,4
1902,2151,1/2-1/2,4
2132,1787,1/2-1/2,4
2130,1720,1-0,4
1882,2092,1/2-1/2,4
2079,1646,1-0,4
1660,2257,0-1,4
2248,1949,1-0,4
1775,1951,1-0,4
2199,1646,1-0,4
1986,1564,1-0,4
2604,2531,1-0,5
2579,2303,0-1,5
2556,2542,1/2-1/2,5
2445,2547,1/2-1/2,5
2673,2472,1-0,5
2421,2639,0-1,5
2418,2586,1/2-1/2,5
2408,2569,1/2-1/2,5
2563,2427,1/2-1/2,5
2550,2464,1-0,5
2507,2402,1/2-1/2,5
2309,2482,0-1,5
2288,2533,0-1,5
2527,2376,0-1,5
2339,2495,1-0,5
2494,2368,1/2-1/2,5
2479,2351,1-0,5
2279,2442,1/2-1/2,5
2440,2251,1-0,5
2436,2249,1-0,5
2198,2400,1/2-1/2,5
2252,2473,0-1,5
2463,2182,1/2-1/2,5
2211,2453,0-1,5
2404,2162,1/2-1/2,5
2383,2161,1-0,5
2370,2130,1-0,5
2365,2130,1-0,5
2350,2122,1-0,5
2190,2345,1-0,5
2094,2310,1/2-1/2,5
2079,2286,0-1,5
