elo1, elo2, res
2722,2071,1-0
2071,2715,0-1
2710,2069,1-0
2059,2709,0-1
2709,2059,1/2-1/2
2053,2688,0-1
2684,2050,1-0
2046,2678,0-1
2675,2044,1-0
2041,2644,0-1
2644,2028,1-0
2017,2643,0-1
2637,2016,1-0
1988,2566,0-1
2563,1980,1-0
1978,2556,0-1
2533,1969,1-0
1961,2531,1/2-1/2
2530,1960,1-0
1957,2509,0-1
2507,1953,1-0
1953,2501,0-1
2498,1949,1-0
1936,2496,0-1
2486,1935,1-0
1915,2485,0-1
2478,1910,1-0
1909,2473,1-0
2472,1909,1-0
1908,2468,0-1
2466,1903,1-0
1903,2462,0-1
2460,1903,1-0
2439,1896,1-0
1894,2435,0-1
2432,1888,1-0
1878,2431,0-1
2430,1873,1-0
1872,2421,0-1
2419,1871,1/2-1/2
1856,2411,0-1
2411,1853,1-0
1840,2407,0-1
2407,1840,1-0
1827,2405,0-1
2386,1823,1-0
1817,2375,0-1
2375,1811,1-0
1809,2369,0-1
2369,1792,1-0
1783,2364,1-0
2350,1766,1-0
1759,2335,0-1
2329,1759,1-0
1750,2314,0-1
2313,1747,1-0
1736,2312,0-1
2307,1734,1-0
1733,2302,0-1
2297,1731,1-0
1714,2284,0-1
2279,1695,1-0
1693,2274,0-1
2271,1693,1/2-1/2
1671,2269,0-1
2263,1661,1-0
1652,2260,0-1
2260,1646,1-0
1700,2280,0-1
2236,1623,1-0
1613,2235,0-1
2235,1610,1/2-1/2
1575,2226,0-1
1557,2223,0-1
2222,1542,1-0
1519,2212,0-1
2197,1479,1-0
2180,1451,1-0
1449,2169,0-1
1393,2141,0-1
2136,1370,1-0
1354,2135,0-1
2133,1331,1-0
2125,1251,1-0
1197,2125,0-1
2375,2722,0-1
2715,2386,1-0
2369,2710,1/2-1/2
2709,2375,1-0
2688,2369,1-0
2359,2684,0-1
2678,2362,1-0
2335,2675,0-1
2644,2350,1-0
2643,2329,1-0
2314,2637,0-1
2631,2313,0-1
2312,2622,1/2-1/2
2622,2297,1-0
2302,2609,0-1
2603,2281,1-0
2284,2602,0-1
2569,2279,1-0
2280,2568,1/2-1/2
2566,2263,1-0
2565,2260,1-0
2274,2563,0-1
2556,2236,1-0
2269,2533,0-1
2260,2530,1-0
2509,2222,1-0
2257,2507,1-0
2501,2211,1-0
2235,2498,0-1
2226,2486,1/2-1/2
2485,2197,1-0
2223,2478,0-1
2212,2472,1/2-1/2
2468,2180,1-0
2169,2466,0-1
2462,2148,1-0
2141,2460,1/2-1/2
2441,2133,1-0
2135,2439,0-1
2435,2125,1-0
